[2018-07-11 14:21:39] Shadowsocks started
[2018-07-11 14:22:07] Shadowsocks started
[2018-07-11 14:22:10] Shadowsocks started
[2018-07-11 14:25:11] Shadowsocks started
[2018-07-11 14:45:05] Shadowsocks started
[2018-07-13 15:18:23] 119.28.54.208:80 timed out
[2018-07-13 15:18:24] 119.28.54.208:80 timed out
[2018-07-13 15:18:24] 119.28.54.208:80 timed out
[2018-07-13 15:18:25] 119.28.54.208:80 timed out
[2018-07-13 15:18:25] 119.28.54.208:80 timed out
[2018-07-13 15:18:25] 119.28.54.208:80 timed out
[2018-07-13 15:18:25] 119.28.54.208:80 timed out
[2018-07-13 15:18:26] 119.28.54.208:80 timed out
[2018-07-13 15:18:26] 119.28.54.208:80 timed out
[2018-07-13 15:18:27] 119.28.54.208:80 timed out
[2018-07-13 15:18:28] 119.28.54.208:80 timed out
[2018-07-13 15:18:30] 119.28.54.208:80 timed out
[2018-07-13 15:18:30] 119.28.54.208:80 timed out
[2018-07-13 15:18:32] 119.28.54.208:80 timed out
[2018-07-13 15:18:33] 119.28.54.208:80 timed out
[2018-07-13 15:18:35] 119.28.54.208:80 timed out
[2018-07-13 15:18:35] 119.28.54.208:80 timed out
[2018-07-13 15:18:37] 119.28.54.208:80 timed out
[2018-07-13 15:18:37] 119.28.54.208:80 timed out
[2018-07-13 15:18:40] 119.28.54.208:80 timed out
[2018-07-13 15:18:40] 119.28.54.208:80 timed out
[2018-07-13 15:18:41] 119.28.54.208:80 timed out
[2018-07-13 15:18:42] 119.28.54.208:80 timed out
[2018-07-13 15:18:46] 119.28.54.208:80 timed out
[2018-07-13 15:18:46] 119.28.54.208:80 timed out
[2018-07-13 15:18:47] 119.28.54.208:80 timed out
[2018-07-13 15:18:48] Shadowsocks started
[2018-07-13 15:18:53] 119.28.54.208:80 timed out
[2018-07-13 15:18:54] 119.28.54.208:80 timed out
[2018-07-13 16:47:39] Shadowsocks started
[2018-07-13 17:21:28] 119.28.54.208:80 timed out
[2018-07-13 17:39:32] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-13 17:39:33] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-13 17:40:15] Shadowsocks started
[2018-07-13 17:44:32] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Proxy.DirectConnect.EndConnectDest(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.TCPHandler.ConnectCallback(IAsyncResult ar)
[2018-07-13 17:49:51] Shadowsocks started
[2018-07-13 17:49:52] System.Reflection.TargetInvocationException: 操作过程中出现异常，结果无效。  有关异常的详细信息，请查看 InnerException。 ---> System.Net.WebException: 基础连接已经关闭: 发送时发生错误。 ---> System.IO.IOException: 由于远程方已关闭传输流，身份验证失败。
   在 System.Net.TlsStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.PooledStream.EndWrite(IAsyncResult asyncResult)
   在 System.Net.ConnectStream.WriteHeadersCallback(IAsyncResult ar)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   在 System.Net.WebClient.GetWebResponse(WebRequest request, IAsyncResult result)
   在 System.Net.WebClient.DownloadBitsResponseCallback(IAsyncResult result)
   --- 内部异常堆栈跟踪的结尾 ---
   在 System.ComponentModel.AsyncCompletedEventArgs.RaiseExceptionIfNecessary()
   在 Shadowsocks.Controller.UpdateChecker.http_DownloadStringCompleted(Object sender, DownloadStringCompletedEventArgs e)
[2018-07-13 17:56:45] Shadowsocks started
[2018-07-13 17:59:37] Shadowsocks started
[2018-07-13 17:59:43] Shadowsocks started
[2018-07-13 18:00:04] Shadowsocks started
[2018-07-13 18:02:07] Shadowsocks started
[2018-07-13 19:18:09] 119.28.54.208:80 timed out
[2018-07-14 03:27:48] 119.28.54.208:80 timed out
[2018-07-14 03:27:56] 119.28.54.208:80 timed out
[2018-07-14 03:30:21] 119.28.54.208:80 timed out
[2018-07-14 03:30:28] 119.28.54.208:80 timed out
[2018-07-14 03:30:33] 119.28.54.208:80 timed out
[2018-07-14 03:31:22] 119.28.54.208:80 timed out
[2018-07-14 03:31:25] 119.28.54.208:80 timed out
[2018-07-14 03:31:27] 119.28.54.208:80 timed out
[2018-07-14 03:32:04] 119.28.54.208:80 timed out
[2018-07-14 03:32:09] 119.28.54.208:80 timed out
[2018-07-14 03:32:13] 119.28.54.208:80 timed out
[2018-07-14 03:32:31] 119.28.54.208:80 timed out
[2018-07-14 03:32:36] 119.28.54.208:80 timed out
[2018-07-14 03:36:28] 119.28.54.208:80 timed out
[2018-07-14 03:36:32] 119.28.54.208:80 timed out
[2018-07-14 03:36:33] 119.28.54.208:80 timed out
[2018-07-14 03:37:28] 119.28.54.208:80 timed out
[2018-07-14 03:37:33] 119.28.54.208:80 timed out
[2018-07-14 03:37:38] 119.28.54.208:80 timed out
[2018-07-14 03:37:43] 119.28.54.208:80 timed out
[2018-07-14 03:37:48] 119.28.54.208:80 timed out
[2018-07-14 03:43:57] 119.28.54.208:80 timed out
[2018-07-14 03:43:58] 119.28.54.208:80 timed out
[2018-07-14 03:48:22] 119.28.54.208:80 timed out
[2018-07-14 03:48:27] 119.28.54.208:80 timed out
[2018-07-14 05:35:24] 119.28.54.208:80 timed out
[2018-07-14 05:35:28] 119.28.54.208:80 timed out
[2018-07-14 05:35:29] 119.28.54.208:80 timed out
[2018-07-14 05:35:33] 119.28.54.208:80 timed out
[2018-07-14 05:35:38] 119.28.54.208:80 timed out
[2018-07-14 05:35:43] 119.28.54.208:80 timed out
[2018-07-14 05:35:49] 119.28.54.208:80 timed out
[2018-07-14 05:35:54] 119.28.54.208:80 timed out
[2018-07-14 05:35:59] 119.28.54.208:80 timed out
[2018-07-14 05:36:04] 119.28.54.208:80 timed out
[2018-07-14 05:36:09] 119.28.54.208:80 timed out
[2018-07-14 05:36:14] 119.28.54.208:80 timed out
[2018-07-14 05:36:19] 119.28.54.208:80 timed out
[2018-07-14 05:36:24] 119.28.54.208:80 timed out
[2018-07-14 05:36:29] 119.28.54.208:80 timed out
[2018-07-14 05:36:34] 119.28.54.208:80 timed out
[2018-07-14 05:36:39] 119.28.54.208:80 timed out
[2018-07-14 05:36:44] 119.28.54.208:80 timed out
[2018-07-14 05:36:49] 119.28.54.208:80 timed out
[2018-07-14 05:36:54] 119.28.54.208:80 timed out
[2018-07-14 05:37:15] 119.28.54.208:80 timed out
[2018-07-14 05:37:20] 119.28.54.208:80 timed out
[2018-07-14 05:37:31] 119.28.54.208:80 timed out
[2018-07-14 05:37:36] 119.28.54.208:80 timed out
[2018-07-14 05:37:41] 119.28.54.208:80 timed out
[2018-07-14 05:37:46] 119.28.54.208:80 timed out
[2018-07-14 05:37:51] 119.28.54.208:80 timed out
[2018-07-14 05:37:56] 119.28.54.208:80 timed out
[2018-07-14 05:38:01] 119.28.54.208:80 timed out
[2018-07-14 05:38:06] 119.28.54.208:80 timed out
[2018-07-14 05:38:12] 119.28.54.208:80 timed out
[2018-07-14 17:46:09] Shadowsocks started
[2018-07-14 19:38:38] Shadowsocks started
[2018-07-14 19:39:44] Shadowsocks started
[2018-07-14 19:39:45] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:49] System.Net.Sockets.SocketException (0x80004005): 由于目标计算机积极拒绝，无法连接。
   在 Shadowsocks.Util.Sockets.WrappedSocket.EndConnect(IAsyncResult asyncResult)
   在 Shadowsocks.Controller.PortForwarder.Handler.ConnectCallback(IAsyncResult ar)
[2018-07-14 19:39:56] Shadowsocks started
[2018-07-14 19:40:01] Shadowsocks started
[2018-07-15 01:37:28] 119.28.54.208:80 timed out
[2018-07-15 01:37:33] 119.28.54.208:80 timed out
[2018-07-15 01:37:38] 119.28.54.208:80 timed out
[2018-07-15 01:37:43] 119.28.54.208:80 timed out
[2018-07-15 01:37:48] 119.28.54.208:80 timed out
[2018-07-15 01:37:53] 119.28.54.208:80 timed out
[2018-07-15 01:37:58] 119.28.54.208:80 timed out
[2018-07-15 01:38:03] 119.28.54.208:80 timed out
[2018-07-15 01:38:08] 119.28.54.208:80 timed out
[2018-07-15 01:38:08] 119.28.54.208:80 timed out
[2018-07-15 01:38:12] 119.28.54.208:80 timed out
[2018-07-15 01:38:16] 119.28.54.208:80 timed out
[2018-07-15 01:38:20] 119.28.54.208:80 timed out
[2018-07-15 01:38:24] 119.28.54.208:80 timed out
[2018-07-15 01:38:24] 119.28.54.208:80 timed out
[2018-07-15 01:38:27] 119.28.54.208:80 timed out
[2018-07-15 01:38:32] 119.28.54.208:80 timed out
[2018-07-15 01:38:35] 119.28.54.208:80 timed out
[2018-07-15 23:49:53] 119.28.54.208:80 timed out
[2018-07-16 08:43:37] 119.28.54.208:80 timed out
[2018-07-16 08:43:37] 119.28.54.208:80 timed out
[2018-07-16 08:43:41] 119.28.54.208:80 timed out
[2018-07-16 08:43:44] 119.28.54.208:80 timed out
[2018-07-16 08:43:45] 119.28.54.208:80 timed out
[2018-07-16 08:43:49] 119.28.54.208:80 timed out
[2018-07-16 08:43:49] 119.28.54.208:80 timed out
[2018-07-16 08:43:53] 119.28.54.208:80 timed out
[2018-07-16 08:43:54] 119.28.54.208:80 timed out
[2018-07-16 08:43:56] 119.28.54.208:80 timed out
[2018-07-16 08:43:57] 119.28.54.208:80 timed out
[2018-07-16 08:43:57] 119.28.54.208:80 timed out
[2018-07-16 08:43:59] 119.28.54.208:80 timed out
[2018-07-16 08:44:01] 119.28.54.208:80 timed out
[2018-07-16 08:44:04] 119.28.54.208:80 timed out
[2018-07-16 08:44:04] 119.28.54.208:80 timed out
[2018-07-16 08:44:04] 119.28.54.208:80 timed out
[2018-07-16 08:44:09] 119.28.54.208:80 timed out
[2018-07-16 08:44:09] 119.28.54.208:80 timed out
[2018-07-16 08:44:10] 119.28.54.208:80 timed out
[2018-07-16 08:44:10] 119.28.54.208:80 timed out
[2018-07-16 08:44:14] 119.28.54.208:80 timed out
[2018-07-16 08:44:14] 119.28.54.208:80 timed out
[2018-07-16 08:44:16] 119.28.54.208:80 timed out
[2018-07-16 08:44:16] 119.28.54.208:80 timed out
[2018-07-16 08:44:19] 119.28.54.208:80 timed out
[2018-07-16 08:44:21] 119.28.54.208:80 timed out
[2018-07-16 08:44:25] 119.28.54.208:80 timed out
[2018-07-16 08:44:26] 119.28.54.208:80 timed out
[2018-07-16 08:44:30] 119.28.54.208:80 timed out
[2018-07-16 08:44:31] 119.28.54.208:80 timed out
[2018-07-16 08:44:35] 119.28.54.208:80 timed out
[2018-07-16 08:44:40] 119.28.54.208:80 timed out
[2018-07-16 08:44:45] 119.28.54.208:80 timed out
[2018-07-16 08:44:50] 119.28.54.208:80 timed out
[2018-07-16 08:44:55] 119.28.54.208:80 timed out
[2018-07-16 08:45:00] 119.28.54.208:80 timed out
[2018-07-16 08:45:05] 119.28.54.208:80 timed out
[2018-07-16 08:45:10] 119.28.54.208:80 timed out
[2018-07-16 08:45:15] 119.28.54.208:80 timed out
[2018-07-16 08:45:20] 119.28.54.208:80 timed out
[2018-07-16 08:45:25] 119.28.54.208:80 timed out
[2018-07-16 08:45:30] 119.28.54.208:80 timed out
[2018-07-16 08:45:35] 119.28.54.208:80 timed out
[2018-07-16 08:45:40] 119.28.54.208:80 timed out
[2018-07-16 08:45:45] 119.28.54.208:80 timed out
[2018-07-16 08:45:50] 119.28.54.208:80 timed out
[2018-07-16 08:45:56] 119.28.54.208:80 timed out
[2018-07-16 08:46:06] 119.28.54.208:80 timed out
[2018-07-16 08:46:11] 119.28.54.208:80 timed out
[2018-07-16 08:46:16] 119.28.54.208:80 timed out
[2018-07-16 08:46:21] 119.28.54.208:80 timed out
[2018-07-16 08:46:26] 119.28.54.208:80 timed out
[2018-07-16 08:46:31] 119.28.54.208:80 timed out
[2018-07-16 08:46:36] 119.28.54.208:80 timed out
[2018-07-16 08:46:41] 119.28.54.208:80 timed out
[2018-07-16 08:46:46] 119.28.54.208:80 timed out
[2018-07-16 08:46:51] 119.28.54.208:80 timed out
[2018-07-16 08:46:56] 119.28.54.208:80 timed out
[2018-07-16 08:47:01] 119.28.54.208:80 timed out
[2018-07-16 08:47:06] 119.28.54.208:80 timed out
[2018-07-16 08:47:11] 119.28.54.208:80 timed out
[2018-07-16 08:47:16] 119.28.54.208:80 timed out
[2018-07-16 08:47:21] 119.28.54.208:80 timed out
[2018-07-16 08:47:27] 119.28.54.208:80 timed out
[2018-07-16 08:47:32] 119.28.54.208:80 timed out
[2018-07-16 08:47:37] 119.28.54.208:80 timed out
[2018-07-16 08:47:42] 119.28.54.208:80 timed out
[2018-07-16 08:47:44] 119.28.54.208:80 timed out
[2018-07-16 08:47:44] 119.28.54.208:80 timed out
[2018-07-16 08:47:47] 119.28.54.208:80 timed out
[2018-07-16 08:47:49] 119.28.54.208:80 timed out
[2018-07-16 08:47:51] 119.28.54.208:80 timed out
[2018-07-16 08:47:52] 119.28.54.208:80 timed out
[2018-07-16 08:47:54] 119.28.54.208:80 timed out
[2018-07-16 08:47:57] 119.28.54.208:80 timed out
[2018-07-16 08:47:57] 119.28.54.208:80 timed out
[2018-07-16 08:48:02] 119.28.54.208:80 timed out
[2018-07-16 08:48:02] 119.28.54.208:80 timed out
[2018-07-16 08:48:03] 119.28.54.208:80 timed out
[2018-07-16 08:48:07] 119.28.54.208:80 timed out
[2018-07-16 08:48:12] 119.28.54.208:80 timed out
[2018-07-16 08:48:17] 119.28.54.208:80 timed out
[2018-07-16 08:48:22] 119.28.54.208:80 timed out
[2018-07-16 08:48:27] 119.28.54.208:80 timed out
[2018-07-16 08:48:32] 119.28.54.208:80 timed out
[2018-07-16 08:48:37] 119.28.54.208:80 timed out
[2018-07-16 08:48:42] 119.28.54.208:80 timed out
[2018-07-16 08:48:47] 119.28.54.208:80 timed out
[2018-07-16 08:48:52] 119.28.54.208:80 timed out
[2018-07-16 08:48:58] 119.28.54.208:80 timed out
[2018-07-16 08:49:03] 119.28.54.208:80 timed out
[2018-07-16 08:49:08] 119.28.54.208:80 timed out
[2018-07-16 09:09:41] 119.28.54.208:80 timed out
[2018-07-16 09:09:46] 119.28.54.208:80 timed out
[2018-07-16 09:09:51] 119.28.54.208:80 timed out
[2018-07-16 09:09:52] 119.28.54.208:80 timed out
[2018-07-16 09:09:56] 119.28.54.208:80 timed out
[2018-07-16 09:10:01] 119.28.54.208:80 timed out
[2018-07-16 09:10:06] 119.28.54.208:80 timed out
[2018-07-16 09:10:11] 119.28.54.208:80 timed out
[2018-07-16 09:10:16] 119.28.54.208:80 timed out
[2018-07-16 09:10:21] 119.28.54.208:80 timed out
[2018-07-16 09:10:26] 119.28.54.208:80 timed out
[2018-07-16 09:10:31] 119.28.54.208:80 timed out
[2018-07-16 09:10:36] 119.28.54.208:80 timed out
[2018-07-16 09:10:41] 119.28.54.208:80 timed out
[2018-07-16 09:10:46] 119.28.54.208:80 timed out
[2018-07-16 09:10:51] 119.28.54.208:80 timed out
[2018-07-16 09:10:56] 119.28.54.208:80 timed out
[2018-07-16 09:11:01] 119.28.54.208:80 timed out
[2018-07-16 09:11:06] 119.28.54.208:80 timed out
[2018-07-16 09:11:12] 119.28.54.208:80 timed out
[2018-07-16 09:11:14] 119.28.54.208:80 timed out
[2018-07-16 09:11:14] 119.28.54.208:80 timed out
